Year,State,Metric,Age Range,"Events per 1,000 women"
2000,LA,Birth Rate,15-19,62
2005,LA,Birth Rate,15-19,47.299999999999997
2006,LA,Birth Rate,15-19,53.600000000000001
2007,LA,Birth Rate,15-19,55.200000000000003
2008,LA,Birth Rate,15-19,54
2009,LA,Birth Rate,15-19,51.700000000000003
2010,LA,Birth Rate,15-19,48.200000000000003
2011,LA,Birth Rate,15-19,45.5
2012,LA,Birth Rate,15-19,43.100000000000001
2013,LA,Birth Rate,15-19,39.299999999999997
2014,LA,Birth Rate,15-19,35.899999999999999
2015,LA,Birth Rate,15-19,34.299999999999997
2016,LA,Birth Rate,15-19,30.800000000000001
1988,ME,Birth Rate,15-19,41.100000000000001
1992,ME,Birth Rate,15-19,40
1996,ME,Birth Rate,15-19,31.699999999999999
2000,ME,Birth Rate,15-19,29.100000000000001
2005,ME,Birth Rate,15-19,24.399999999999999
2006,ME,Birth Rate,15-19,24.899999999999999
2007,ME,Birth Rate,15-19,26
2008,ME,Birth Rate,15-19,25
2009,ME,Birth Rate,15-19,24
2010,ME,Birth Rate,15-19,21.5
2011,ME,Birth Rate,15-19,20.699999999999999
2012,ME,Birth Rate,15-19,19.5
2013,ME,Birth Rate,15-19,17.399999999999999
2014,ME,Birth Rate,15-19,16.399999999999999
2015,ME,Birth Rate,15-19,15.300000000000001
2016,ME,Birth Rate,15-19,14.800000000000001
1988,MD,Birth Rate,15-19,49.799999999999997
1992,MD,Birth Rate,15-19,50.600000000000001
1996,MD,Birth Rate,15-19,45.700000000000003
2000,MD,Birth Rate,15-19,41.200000000000003
2005,MD,Birth Rate,15-19,32.100000000000001
2006,MD,Birth Rate,15-19,33.700000000000003
2007,MD,Birth Rate,15-19,34.299999999999997
2008,MD,Birth Rate,15-19,32.600000000000001
2009,MD,Birth Rate,15-19,30.699999999999999
2010,MD,Birth Rate,15-19,27.300000000000001
2011,MD,Birth Rate,15-19,24.399999999999999
2012,MD,Birth Rate,15-19,22.100000000000001
2013,MD,Birth Rate,15-19,19.300000000000001
2014,MD,Birth Rate,15-19,17.899999999999999
2015,MD,Birth Rate,15-19,17
2016,MD,Birth Rate,15-19,16
1988,MA,Birth Rate,15-19,32
1992,MA,Birth Rate,15-19,37.5
1996,MA,Birth Rate,15-19,31.100000000000001
2000,MA,Birth Rate,15-19,25.800000000000001
2005,MA,Birth Rate,15-19,20
2006,MA,Birth Rate,15-19,20.600000000000001
2007,MA,Birth Rate,15-19,21.399999999999999
2008,MA,Birth Rate,15-19,19.800000000000001
2009,MA,Birth Rate,15-19,19.5
2010,MA,Birth Rate,15-19,17
2011,MA,Birth Rate,15-19,15.1
2012,MA,Birth Rate,15-19,14
2013,MA,Birth Rate,15-19,11.9
2014,MA,Birth Rate,15-19,10.5
2015,MA,Birth Rate,15-19,9.4000000000000004
2016,MA,Birth Rate,15-19,8.5
1988,MI,Birth Rate,15-19,47
1992,MI,Birth Rate,15-19,56.600000000000001
1996,MI,Birth Rate,15-19,46.399999999999999
2000,MI,Birth Rate,15-19,40.100000000000001
2005,MI,Birth Rate,15-19,32.200000000000003
2006,MI,Birth Rate,15-19,33.200000000000003
2007,MI,Birth Rate,15-19,33.5
2008,MI,Birth Rate,15-19,32.299999999999997
2009,MI,Birth Rate,15-19,31.899999999999999
2010,MI,Birth Rate,15-19,30.300000000000001
2011,MI,Birth Rate,15-19,27.699999999999999
2012,MI,Birth Rate,15-19,26.100000000000001
2013,MI,Birth Rate,15-19,23.5
2014,MI,Birth Rate,15-19,21
2015,MI,Birth Rate,15-19,19.300000000000001
2016,MI,Birth Rate,15-19,17.699999999999999
1988,MN,Birth Rate,15-19,31.199999999999999
1992,MN,Birth Rate,15-19,35.899999999999999
1996,MN,Birth Rate,15-19,32.299999999999997
2000,MN,Birth Rate,15-19,29.899999999999999
2005,MN,Birth Rate,15-19,25.5
2006,MN,Birth Rate,15-19,27.300000000000001
2007,MN,Birth Rate,15-19,27.899999999999999
2008,MN,Birth Rate,15-19,26.5
2009,MN,Birth Rate,15-19,24.100000000000001
2010,MN,Birth Rate,15-19,22.5
2011,MN,Birth Rate,15-19,19.300000000000001
2012,MN,Birth Rate,15-19,18.600000000000001
2013,MN,Birth Rate,15-19,16.800000000000001
2014,MN,Birth Rate,15-19,15.5
2015,MN,Birth Rate,15-19,13.699999999999999
2016,MN,Birth Rate,15-19,12.6
1988,MS,Birth Rate,15-19,74
1992,MS,Birth Rate,15-19,83.599999999999994
1996,MS,Birth Rate,15-19,74
2000,MS,Birth Rate,15-19,70.099999999999994
2005,MS,Birth Rate,15-19,58.299999999999997
2006,MS,Birth Rate,15-19,67.200000000000003
2007,MS,Birth Rate,15-19,70.099999999999994
2008,MS,Birth Rate,15-19,64
2009,MS,Birth Rate,15-19,62.200000000000003
2010,MS,Birth Rate,15-19,55.399999999999999
2011,MS,Birth Rate,15-19,50.5
2012,MS,Birth Rate,15-19,46
2013,MS,Birth Rate,15-19,42.200000000000003
2014,MS,Birth Rate,15-19,37.799999999999997
2015,MS,Birth Rate,15-19,34.700000000000003
2016,MS,Birth Rate,15-19,32.600000000000001
1988,MO,Birth Rate,15-19,55.5
1992,MO,Birth Rate,15-19,63.100000000000001
1996,MO,Birth Rate,15-19,53.200000000000003
2000,MO,Birth Rate,15-19,48.5
2005,MO,Birth Rate,15-19,41.700000000000003
2006,MO,Birth Rate,15-19,44.100000000000001
2007,MO,Birth Rate,15-19,44
2008,MO,Birth Rate,15-19,43.5
2009,MO,Birth Rate,15-19,40.600000000000001
2010,MO,Birth Rate,15-19,37.299999999999997
2011,MO,Birth Rate,15-19,34.600000000000001
2012,MO,Birth Rate,15-19,32.200000000000003
2013,MO,Birth Rate,15-19,30
2014,MO,Birth Rate,15-19,27.300000000000001
2015,MO,Birth Rate,15-19,25.199999999999999
2016,MO,Birth Rate,15-19,23.399999999999999
1988,MT,Birth Rate,15-19,40.200000000000003
1992,MT,Birth Rate,15-19,46
1996,MT,Birth Rate,15-19,39.299999999999997
2000,MT,Birth Rate,15-19,36.600000000000001
2005,MT,Birth Rate,15-19,34.5
2006,MT,Birth Rate,15-19,37.600000000000001
2007,MT,Birth Rate,15-19,35.299999999999997
2008,MT,Birth Rate,15-19,38.899999999999999
2009,MT,Birth Rate,15-19,38.399999999999999
2010,MT,Birth Rate,15-19,35.100000000000001
2011,MT,Birth Rate,15-19,29.300000000000001
2012,MT,Birth Rate,15-19,28.800000000000001
2013,MT,Birth Rate,15-19,27.800000000000001
2014,MT,Birth Rate,15-19,26.600000000000001
2015,MT,Birth Rate,15-19,25.5
2016,MT,Birth Rate,15-19,23.699999999999999
1988,NE,Birth Rate,15-19,38.5
1992,NE,Birth Rate,15-19,41.100000000000001
1996,NE,Birth Rate,15-19,38.899999999999999
2000,NE,Birth Rate,15-19,37.600000000000001
2005,NE,Birth Rate,15-19,33.100000000000001
2006,NE,Birth Rate,15-19,32.799999999999997
2007,NE,Birth Rate,15-19,35.5
2008,NE,Birth Rate,15-19,35.799999999999997
2009,NE,Birth Rate,15-19,34.799999999999997
2010,NE,Birth Rate,15-19,31.100000000000001
2011,NE,Birth Rate,15-19,27.399999999999999
2012,NE,Birth Rate,15-19,26.699999999999999
2013,NE,Birth Rate,15-19,24.899999999999999
2014,NE,Birth Rate,15-19,22.300000000000001
2015,NE,Birth Rate,15-19,22.100000000000001
2016,NE,Birth Rate,15-19,19.199999999999999
1988,NV,Birth Rate,15-19,64
1992,NV,Birth Rate,15-19,70.599999999999994
1996,NV,Birth Rate,15-19,69.5
2000,NV,Birth Rate,15-19,62.299999999999997
2005,NV,Birth Rate,15-19,51.600000000000001
2006,NV,Birth Rate,15-19,53.399999999999999
2007,NV,Birth Rate,15-19,51.700000000000003
2008,NV,Birth Rate,15-19,49.100000000000001
2009,NV,Birth Rate,15-19,44
2010,NV,Birth Rate,15-19,39
2011,NV,Birth Rate,15-19,36.100000000000001
2012,NV,Birth Rate,15-19,33.799999999999997
2013,NV,Birth Rate,15-19,30.800000000000001
2014,NV,Birth Rate,15-19,28.899999999999999
2015,NV,Birth Rate,15-19,27.800000000000001
2016,NV,Birth Rate,15-19,24.199999999999999
1988,NH,Birth Rate,15-19,32.600000000000001
1992,NH,Birth Rate,15-19,31.300000000000001
1996,NH,Birth Rate,15-19,28.199999999999999
2000,NH,Birth Rate,15-19,23.300000000000001
2005,NH,Birth Rate,15-19,18
2006,NH,Birth Rate,15-19,18.100000000000001
2007,NH,Birth Rate,15-19,19.300000000000001
2008,NH,Birth Rate,15-19,19.100000000000001
2009,NH,Birth Rate,15-19,16.399999999999999
2010,NH,Birth Rate,15-19,15.699999999999999
2011,NH,Birth Rate,15-19,13.6
2012,NH,Birth Rate,15-19,13.800000000000001
2013,NH,Birth Rate,15-19,12.6
2014,NH,Birth Rate,15-19,11
2015,NH,Birth Rate,15-19,10.9
2016,NH,Birth Rate,15-19,9.1999999999999993
1988,NJ,Birth Rate,15-19,37.899999999999999
1992,NJ,Birth Rate,15-19,38.899999999999999
1996,NJ,Birth Rate,15-19,35.200000000000003
2000,NJ,Birth Rate,15-19,31.800000000000001
2005,NJ,Birth Rate,15-19,24.199999999999999
2006,NJ,Birth Rate,15-19,24.800000000000001
2007,NJ,Birth Rate,15-19,24.899999999999999
2008,NJ,Birth Rate,15-19,24
2009,NJ,Birth Rate,15-19,22
2010,NJ,Birth Rate,15-19,20
2011,NJ,Birth Rate,15-19,18.600000000000001
2012,NJ,Birth Rate,15-19,16.699999999999999
2013,NJ,Birth Rate,15-19,14.9
2014,NJ,Birth Rate,15-19,13.199999999999999
2015,NJ,Birth Rate,15-19,12.199999999999999
2016,NJ,Birth Rate,15-19,11.1
1988,NM,Birth Rate,15-19,72.400000000000006
1992,NM,Birth Rate,15-19,79.700000000000003
1996,NM,Birth Rate,15-19,70.5
2000,NM,Birth Rate,15-19,65.5
2005,NM,Birth Rate,15-19,61.200000000000003
2006,NM,Birth Rate,15-19,62.700000000000003
2007,NM,Birth Rate,15-19,63.899999999999999
2008,NM,Birth Rate,15-19,61.399999999999999
2009,NM,Birth Rate,15-19,60.299999999999997
2010,NM,Birth Rate,15-19,53.200000000000003
2011,NM,Birth Rate,15-19,48.299999999999997
2012,NM,Birth Rate,15-19,46.799999999999997
2013,NM,Birth Rate,15-19,42.899999999999999
2014,NM,Birth Rate,15-19,37.299999999999997
2015,NM,Birth Rate,15-19,34
2016,NM,Birth Rate,15-19,29.600000000000001
1988,NY,Birth Rate,15-19,39.600000000000001
1992,NY,Birth Rate,15-19,44.5
1996,NY,Birth Rate,15-19,39.899999999999999
2000,NY,Birth Rate,15-19,33.200000000000003
2005,NY,Birth Rate,15-19,25.699999999999999
2006,NY,Birth Rate,15-19,26
2007,NY,Birth Rate,15-19,26
2008,NY,Birth Rate,15-19,25.5
2009,NY,Birth Rate,15-19,24.199999999999999
2010,NY,Birth Rate,15-19,22.800000000000001
2011,NY,Birth Rate,15-19,21.100000000000001
2012,NY,Birth Rate,15-19,19.699999999999999
2013,NY,Birth Rate,15-19,17.699999999999999
2014,NY,Birth Rate,15-19,16.199999999999999
2015,NY,Birth Rate,15-19,14.800000000000001
2016,NY,Birth Rate,15-19,13.4
1988,NC,Birth Rate,15-19,60.899999999999999
1992,NC,Birth Rate,15-19,69.200000000000003
1996,NC,Birth Rate,15-19,62.299999999999997
2000,NC,Birth Rate,15-19,58.600000000000001
2005,NC,Birth Rate,15-19,47
2006,NC,Birth Rate,15-19,48.100000000000001
2007,NC,Birth Rate,15-19,48
2008,NC,Birth Rate,15-19,47.299999999999997
2009,NC,Birth Rate,15-19,43.700000000000003
2010,NC,Birth Rate,15-19,38.299999999999997
2011,NC,Birth Rate,15-19,34.799999999999997
2012,NC,Birth Rate,15-19,31.800000000000001
2013,NC,Birth Rate,15-19,28.399999999999999
2014,NC,Birth Rate,15-19,26
2015,NC,Birth Rate,15-19,23.600000000000001
2016,NC,Birth Rate,15-19,21.600000000000001
1988,ND,Birth Rate,15-19,32.299999999999997
1992,ND,Birth Rate,15-19,36.899999999999999
1996,ND,Birth Rate,15-19,31.600000000000001
2000,ND,Birth Rate,15-19,27.300000000000001
2005,ND,Birth Rate,15-19,27
2006,ND,Birth Rate,15-19,26.100000000000001
2007,ND,Birth Rate,15-19,29.199999999999999
2008,ND,Birth Rate,15-19,28.300000000000001
2009,ND,Birth Rate,15-19,28.699999999999999
2010,ND,Birth Rate,15-19,28.899999999999999
2011,ND,Birth Rate,15-19,28.399999999999999
2012,ND,Birth Rate,15-19,26.5
2013,ND,Birth Rate,15-19,24.399999999999999
2014,ND,Birth Rate,15-19,24.399999999999999
2015,ND,Birth Rate,15-19,22.699999999999999
2016,ND,Birth Rate,15-19,20.5
1988,OH,Birth Rate,15-19,51.799999999999997
1992,OH,Birth Rate,15-19,58
1996,OH,Birth Rate,15-19,50.399999999999999
2000,OH,Birth Rate,15-19,46
2005,OH,Birth Rate,15-19,38.299999999999997
2006,OH,Birth Rate,15-19,38.899999999999999
2007,OH,Birth Rate,15-19,39.899999999999999
2008,OH,Birth Rate,15-19,39.5
2009,OH,Birth Rate,15-19,37.899999999999999
2010,OH,Birth Rate,15-19,34.299999999999997
2011,OH,Birth Rate,15-19,31.399999999999999
2012,OH,Birth Rate,15-19,29.699999999999999
2013,OH,Birth Rate,15-19,27.199999999999999
2014,OH,Birth Rate,15-19,25.100000000000001
2015,OH,Birth Rate,15-19,23.300000000000001
2016,OH,Birth Rate,15-19,21.699999999999999
1988,OK,Birth Rate,15-19,63.5
1992,OK,Birth Rate,15-19,69.799999999999997
1996,OK,Birth Rate,15-19,63.100000000000001
2000,OK,Birth Rate,15-19,59.600000000000001
2005,OK,Birth Rate,15-19,52.799999999999997
2006,OK,Birth Rate,15-19,56.600000000000001
2007,OK,Birth Rate,15-19,58.5
2008,OK,Birth Rate,15-19,57.799999999999997
2009,OK,Birth Rate,15-19,57.399999999999999
2010,OK,Birth Rate,15-19,50.700000000000003
2011,OK,Birth Rate,15-19,48
2012,OK,Birth Rate,15-19,47.299999999999997
2013,OK,Birth Rate,15-19,42.899999999999999
2014,OK,Birth Rate,15-19,38.600000000000001
2015,OK,Birth Rate,15-19,34.700000000000003
2016,OK,Birth Rate,15-19,33.299999999999997
1988,OR,Birth Rate,15-19,47.899999999999999
1992,OR,Birth Rate,15-19,53
1996,OR,Birth Rate,15-19,50.5
2000,OR,Birth Rate,15-19,42.700000000000003
2005,OR,Birth Rate,15-19,32.700000000000003
2006,OR,Birth Rate,15-19,34.5
2007,OR,Birth Rate,15-19,34.5
2008,OR,Birth Rate,15-19,35.600000000000001
2009,OR,Birth Rate,15-19,32.5
2010,OR,Birth Rate,15-19,28.300000000000001
2011,OR,Birth Rate,15-19,25.800000000000001
2012,OR,Birth Rate,15-19,23.699999999999999
2013,OR,Birth Rate,15-19,21.800000000000001
2014,OR,Birth Rate,15-19,20.100000000000001
2015,OR,Birth Rate,15-19,19.199999999999999
2016,OR,Birth Rate,15-19,16.600000000000001
1988,PA,Birth Rate,15-19,41.299999999999997
1992,PA,Birth Rate,15-19,44.799999999999997
1996,PA,Birth Rate,15-19,38.399999999999999
2000,PA,Birth Rate,15-19,34
2005,PA,Birth Rate,15-19,29.199999999999999
2006,PA,Birth Rate,15-19,30.399999999999999
2007,PA,Birth Rate,15-19,30.699999999999999
2008,PA,Birth Rate,15-19,30.399999999999999
2009,PA,Birth Rate,15-19,28.699999999999999
2010,PA,Birth Rate,15-19,27.100000000000001
2011,PA,Birth Rate,15-19,25
2012,PA,Birth Rate,15-19,23.699999999999999
2013,PA,Birth Rate,15-19,20.800000000000001
2014,PA,Birth Rate,15-19,19.300000000000001
2015,PA,Birth Rate,15-19,17.800000000000001
2016,PA,Birth Rate,15-19,15.9
1988,RI,Birth Rate,15-19,38.299999999999997
1992,RI,Birth Rate,15-19,46.200000000000003
1996,RI,Birth Rate,15-19,38.899999999999999
2000,RI,Birth Rate,15-19,33.5
2005,RI,Birth Rate,15-19,27.800000000000001
2006,RI,Birth Rate,15-19,27.5
2007,RI,Birth Rate,15-19,29.199999999999999
2008,RI,Birth Rate,15-19,27.600000000000001
2009,RI,Birth Rate,15-19,25.800000000000001
2010,RI,Birth Rate,15-19,22.399999999999999
2011,RI,Birth Rate,15-19,21.300000000000001
2012,RI,Birth Rate,15-19,19.800000000000001
2013,RI,Birth Rate,15-19,17.5
2014,RI,Birth Rate,15-19,15.800000000000001
2015,RI,Birth Rate,15-19,14.300000000000001
2016,RI,Birth Rate,15-19,13
1988,SC,Birth Rate,15-19,65.099999999999994
1992,SC,Birth Rate,15-19,69.700000000000003
1996,SC,Birth Rate,15-19,60.200000000000003
2000,SC,Birth Rate,15-19,57.799999999999997
2005,SC,Birth Rate,15-19,48.700000000000003
2006,SC,Birth Rate,15-19,52
2007,SC,Birth Rate,15-19,51.899999999999999
2008,SC,Birth Rate,15-19,51.200000000000003
2009,SC,Birth Rate,15-19,47
2010,SC,Birth Rate,15-19,42.899999999999999
2011,SC,Birth Rate,15-19,38.899999999999999
2012,SC,Birth Rate,15-19,36.399999999999999
2013,SC,Birth Rate,15-19,31.699999999999999
2014,SC,Birth Rate,15-19,28.5
2015,SC,Birth Rate,15-19,26.199999999999999
2016,SC,Birth Rate,15-19,23.699999999999999
1988,SD,Birth Rate,15-19,46.100000000000001
1992,SD,Birth Rate,15-19,48.299999999999997
1996,SD,Birth Rate,15-19,40.100000000000001
2000,SD,Birth Rate,15-19,38
2005,SD,Birth Rate,15-19,36.799999999999997
2006,SD,Birth Rate,15-19,38.700000000000003
2007,SD,Birth Rate,15-19,41.299999999999997
2008,SD,Birth Rate,15-19,39.100000000000001
2009,SD,Birth Rate,15-19,38.700000000000003
2010,SD,Birth Rate,15-19,34.799999999999997
2011,SD,Birth Rate,15-19,34.399999999999999
2012,SD,Birth Rate,15-19,33.5
2013,SD,Birth Rate,15-19,29.600000000000001
2014,SD,Birth Rate,15-19,26.800000000000001
2015,SD,Birth Rate,15-19,26.5
2016,SD,Birth Rate,15-19,25
1988,TN,Birth Rate,15-19,64.299999999999997
1992,TN,Birth Rate,15-19,70.900000000000006
1996,TN,Birth Rate,15-19,64.5
2000,TN,Birth Rate,15-19,59.299999999999997
2005,TN,Birth Rate,15-19,53.299999999999997
2006,TN,Birth Rate,15-19,52.100000000000001
2007,TN,Birth Rate,15-19,53.399999999999999
2008,TN,Birth Rate,15-19,52.200000000000003
2009,TN,Birth Rate,15-19,48.399999999999999
2010,TN,Birth Rate,15-19,43.5
2011,TN,Birth Rate,15-19,40.799999999999997
2012,TN,Birth Rate,15-19,38.399999999999999
2013,TN,Birth Rate,15-19,34.799999999999997
2014,TN,Birth Rate,15-19,33.200000000000003
2015,TN,Birth Rate,15-19,30.600000000000001
2016,TN,Birth Rate,15-19,28
1988,TX,Birth Rate,15-19,69.099999999999994
1992,TX,Birth Rate,15-19,78.200000000000003
1996,TX,Birth Rate,15-19,73.099999999999994
2000,TX,Birth Rate,15-19,68.5
2005,TX,Birth Rate,15-19,60.899999999999999
2006,TX,Birth Rate,15-19,61.600000000000001
2007,TX,Birth Rate,15-19,61.799999999999997
2008,TX,Birth Rate,15-19,60.700000000000003
2009,TX,Birth Rate,15-19,57.899999999999999
2010,TX,Birth Rate,15-19,52.200000000000003
2011,TX,Birth Rate,15-19,46.799999999999997
2012,TX,Birth Rate,15-19,44.200000000000003
2013,TX,Birth Rate,15-19,40.700000000000003
2014,TX,Birth Rate,15-19,37.600000000000001
2015,TX,Birth Rate,15-19,34.399999999999999
2016,TX,Birth Rate,15-19,30.699999999999999
1973,US,Birth Rate,15-19,59.299999999999997
1974,US,Birth Rate,15-19,57.600000000000001
1975,US,Birth Rate,15-19,55.600000000000001
1976,US,Birth Rate,15-19,52.799999999999997
1977,US,Birth Rate,15-19,52.799999999999997
1978,US,Birth Rate,15-19,51.5
1979,US,Birth Rate,15-19,52.299999999999997
1980,US,Birth Rate,15-19,53.200000000000003
1981,US,Birth Rate,15-19,52.200000000000003
1982,US,Birth Rate,15-19,52.399999999999999
1983,US,Birth Rate,15-19,51.399999999999999
1984,US,Birth Rate,15-19,50.600000000000001
1985,US,Birth Rate,15-19,51
1986,US,Birth Rate,15-19,50.200000000000003
1987,US,Birth Rate,15-19,50.600000000000001
1988,US,Birth Rate,15-19,53
1989,US,Birth Rate,15-19,57.299999999999997
1990,US,Birth Rate,15-19,60.299999999999997
1991,US,Birth Rate,15-19,61.799999999999997
1992,US,Birth Rate,15-19,60.299999999999997
1993,US,Birth Rate,15-19,59
1994,US,Birth Rate,15-19,58.200000000000003
1995,US,Birth Rate,15-19,56
1996,US,Birth Rate,15-19,53.5
1997,US,Birth Rate,15-19,51.299999999999997
1998,US,Birth Rate,15-19,50.299999999999997
1999,US,Birth Rate,15-19,48.799999999999997
2000,US,Birth Rate,15-19,47.600000000000001
2001,US,Birth Rate,15-19,45
2002,US,Birth Rate,15-19,42.600000000000001
2003,US,Birth Rate,15-19,41.100000000000001
2004,US,Birth Rate,15-19,40.5
2005,US,Birth Rate,15-19,39.700000000000003
2006,US,Birth Rate,15-19,41.100000000000001
2007,US,Birth Rate,15-19,41.5
2008,US,Birth Rate,15-19,40.200000000000003
2009,US,Birth Rate,15-19,37.899999999999999
2010,US,Birth Rate,15-19,34.399999999999999
2011,US,Birth Rate,15-19,31.300000000000001
2012,US,Birth Rate,15-19,29.300000000000001
2013,US,Birth Rate,15-19,26.399999999999999
2014,US,Birth Rate,15-19,24.199999999999999
2015,US,Birth Rate,15-19,22.300000000000001
2016,US,Birth Rate,15-19,20.300000000000001
1988,UT,Birth Rate,15-19,46
1992,UT,Birth Rate,15-19,45.700000000000003
1996,UT,Birth Rate,15-19,41.200000000000003
2000,UT,Birth Rate,15-19,38
2005,UT,Birth Rate,15-19,30.5
2006,UT,Birth Rate,15-19,33.299999999999997
2007,UT,Birth Rate,15-19,35.399999999999999
2008,UT,Birth Rate,15-19,34.600000000000001
2009,UT,Birth Rate,15-19,30.699999999999999
2010,UT,Birth Rate,15-19,28
2011,UT,Birth Rate,15-19,23.800000000000001
2012,UT,Birth Rate,15-19,23.300000000000001
2013,UT,Birth Rate,15-19,20.800000000000001
2014,UT,Birth Rate,15-19,19.600000000000001
2015,UT,Birth Rate,15-19,17.899999999999999
2016,UT,Birth Rate,15-19,15.699999999999999
1988,VT,Birth Rate,15-19,33.600000000000001
1992,VT,Birth Rate,15-19,35.600000000000001
1996,VT,Birth Rate,15-19,29.5
2000,VT,Birth Rate,15-19,23.399999999999999
2005,VT,Birth Rate,15-19,17.399999999999999
2006,VT,Birth Rate,15-19,19.800000000000001
2007,VT,Birth Rate,15-19,21
2008,VT,Birth Rate,15-19,20.300000000000001
2009,VT,Birth Rate,15-19,17.300000000000001
2010,VT,Birth Rate,15-19,17.899999999999999
2011,VT,Birth Rate,15-19,16.699999999999999
2012,VT,Birth Rate,15-19,16.199999999999999
2013,VT,Birth Rate,15-19,14.5
2014,VT,Birth Rate,15-19,14.300000000000001
2015,VT,Birth Rate,15-19,11.5
2016,VT,Birth Rate,15-19,10.1
1988,VA,Birth Rate,15-19,45.5
1992,VA,Birth Rate,15-19,51.700000000000003
1996,VA,Birth Rate,15-19,45.399999999999999
2000,VA,Birth Rate,15-19,40.700000000000003
2005,VA,Birth Rate,15-19,33.600000000000001
2006,VA,Birth Rate,15-19,34.200000000000003
2007,VA,Birth Rate,15-19,34.200000000000003
2008,VA,Birth Rate,15-19,32.5
2009,VA,Birth Rate,15-19,30.399999999999999
2010,VA,Birth Rate,15-19,27.399999999999999
2011,VA,Birth Rate,15-19,24.5
2012,VA,Birth Rate,15-19,22.899999999999999
2013,VA,Birth Rate,15-19,20.100000000000001
2014,VA,Birth Rate,15-19,18.5
2015,VA,Birth Rate,15-19,17.100000000000001
2016,VA,Birth Rate,15-19,15.5
1988,WA,Birth Rate,15-19,47.100000000000001
1992,WA,Birth Rate,15-19,51
1996,WA,Birth Rate,15-19,45.600000000000001
2000,WA,Birth Rate,15-19,39
2005,WA,Birth Rate,15-19,31.100000000000001
2006,WA,Birth Rate,15-19,32.200000000000003
2007,WA,Birth Rate,15-19,33.299999999999997
2008,WA,Birth Rate,15-19,32.799999999999997
2009,WA,Birth Rate,15-19,30.399999999999999
2010,WA,Birth Rate,15-19,26.899999999999999
2011,WA,Birth Rate,15-19,25.399999999999999
2012,WA,Birth Rate,15-19,23.300000000000001
2013,WA,Birth Rate,15-19,20.5
2014,WA,Birth Rate,15-19,19.199999999999999
2015,WA,Birth Rate,15-19,17.600000000000001
2016,WA,Birth Rate,15-19,16.600000000000001
1988,WV,Birth Rate,15-19,49.899999999999999
1992,WV,Birth Rate,15-19,56.299999999999997
1996,WV,Birth Rate,15-19,50.5
2000,WV,Birth Rate,15-19,46.5
2005,WV,Birth Rate,15-19,42.200000000000003
2006,WV,Birth Rate,15-19,44.200000000000003
2007,WV,Birth Rate,15-19,45.799999999999997
2008,WV,Birth Rate,15-19,46.899999999999999
2009,WV,Birth Rate,15-19,48.200000000000003
2010,WV,Birth Rate,15-19,45.200000000000003
2011,WV,Birth Rate,15-19,43.899999999999999
2012,WV,Birth Rate,15-19,43.899999999999999
2013,WV,Birth Rate,15-19,40.200000000000003
2014,WV,Birth Rate,15-19,36.600000000000001
2015,WV,Birth Rate,15-19,32.100000000000001
2016,WV,Birth Rate,15-19,29.399999999999999
1988,WI,Birth Rate,15-19,38.299999999999997
1992,WI,Birth Rate,15-19,42
1996,WI,Birth Rate,15-19,36.899999999999999
2000,WI,Birth Rate,15-19,35.100000000000001
2005,WI,Birth Rate,15-19,29.699999999999999
2006,WI,Birth Rate,15-19,29.899999999999999
2007,WI,Birth Rate,15-19,31.100000000000001
2008,WI,Birth Rate,15-19,30.300000000000001
2009,WI,Birth Rate,15-19,29.399999999999999
2010,WI,Birth Rate,15-19,26.199999999999999
2011,WI,Birth Rate,15-19,23.300000000000001
2012,WI,Birth Rate,15-19,21.800000000000001
2013,WI,Birth Rate,15-19,19.5
2014,WI,Birth Rate,15-19,18
2015,WI,Birth Rate,15-19,16.199999999999999
2016,WI,Birth Rate,15-19,15
1988,WY,Birth Rate,15-19,49.299999999999997
1992,WY,Birth Rate,15-19,49.799999999999997
1996,WY,Birth Rate,15-19,44.700000000000003
2000,WY,Birth Rate,15-19,41.600000000000001
2005,WY,Birth Rate,15-19,42.700000000000003
2006,WY,Birth Rate,15-19,46
2007,WY,Birth Rate,15-19,49.899999999999999
2008,WY,Birth Rate,15-19,47.5
2009,WY,Birth Rate,15-19,43.399999999999999
2010,WY,Birth Rate,15-19,39.399999999999999
2011,WY,Birth Rate,15-19,35.200000000000003
2012,WY,Birth Rate,15-19,34.899999999999999
2013,WY,Birth Rate,15-19,29.899999999999999
2014,WY,Birth Rate,15-19,30.800000000000001
2015,WY,Birth Rate,15-19,28.800000000000001
2016,WY,Birth Rate,15-19,26.399999999999999
1988,AL,Birth Rate,Total,64.299999999999997
1992,AL,Birth Rate,Total,64.599999999999994
1996,AL,Birth Rate,Total,61.799999999999997
2000,AL,Birth Rate,Total,65.200000000000003
2005,AL,Birth Rate,Total,63.600000000000001
2006,AL,Birth Rate,Total,66.099999999999994
2007,AL,Birth Rate,Total,67.599999999999994
2008,AL,Birth Rate,Total,67.200000000000003
2009,AL,Birth Rate,Total,64.900000000000006
2010,AL,Birth Rate,Total,62.5
2011,AL,Birth Rate,Total,61.899999999999999
2012,AL,Birth Rate,Total,60.899999999999999
2013,AL,Birth Rate,Total,60.5
2014,AL,Birth Rate,Total,61.899999999999999
2015,AL,Birth Rate,Total,62.299999999999997
2016,AL,Birth Rate,Total,62.100000000000001
1988,AK,Birth Rate,Total,82.200000000000003
1992,AK,Birth Rate,Total,81.5
1996,AK,Birth Rate,Total,69.299999999999997
